ID,匹配关系ID,版本ID,物料项ID,*基本流ID,基本流名称（中文）,基本流名称（英文）,基本流分类,流类型,单位（英文）
43289517186379799,43289517155446789,41524144274399237,42474577542373381,41705997518258184,碳氢化合物，脂肪族，烷烃，未指定,"Hydrocarbons, aliphatic, alkanes, unspecified",排放到水/地下-，长期,基本流,kg
43289517186379796,43289517155446789,41524144274399237,42474577542373381,41705997518258185,碳氢化合物，脂肪族，烷烃，未指定,"Hydrocarbons, aliphatic, alkanes, unspecified",排放到空气/未指定,基本流,kg
43289517186379793,43289517155446789,41524144274399237,42474577542373381,41705997518258186,碳氢化合物，脂肪族，烷烃，未指定,"Hydrocarbons, aliphatic, alkanes, unspecified",排放到空气/低人口密度，长期,基本流,kg
43289517186379802,43289517155446789,41524144274399237,42474577542373381,41705997518258187,碳氢化合物，脂肪族，烷烃，未指定,"Hydrocarbons, aliphatic, alkanes, unspecified",排放到水/未指定,基本流,kg
43289517186379794,43289517155446789,41524144274399237,42474577542373381,41705997518258188,碳氢化合物，脂肪族，烷烃，未指定,"Hydrocarbons, aliphatic, alkanes, unspecified",排放到空气/平流层下部 + 对流层上部,基本流,kg
43289517186379801,43289517155446789,41524144274399237,42474577542373381,41705997518258189,碳氢化合物，脂肪族，烷烃，未指定,"Hydrocarbons, aliphatic, alkanes, unspecified",排放到水/地表水,基本流,kg
43289517186379798,43289517155446789,41524144274399237,42474577542373381,41705997518520325,碳氢化合物，脂肪族，烷烃，未指定,"Hydrocarbons, aliphatic, alkanes, unspecified",排放到水/地下-,基本流,kg
43289517186641928,43289517155446789,41524144274399237,42474577542373381,41705997518520326,碳氢化合物，脂肪族，不饱和,"Hydrocarbons, aliphatic, unsaturated",排放到水/地下-，长期,基本流,kg
43289517186641926,43289517155446789,41524144274399237,42474577542373381,41705997518520327,碳氢化合物，脂肪族，不饱和,"Hydrocarbons, aliphatic, unsaturated",排放到空气/城市近地空气,基本流,kg
43289517186641927,43289517155446789,41524144274399237,42474577542373381,41705997518520328,碳氢化合物，脂肪族，不饱和,"Hydrocarbons, aliphatic, unsaturated",排放到水/地下-,基本流,kg
43289517186379805,43289517155446789,41524144274399237,42474577542373381,41705997518520329,碳氢化合物，脂肪族，不饱和,"Hydrocarbons, aliphatic, unsaturated",排放到空气/非城市空气或来自高烟囱的气体,基本流,kg
43289517186641929,43289517155446789,41524144274399237,42474577542373381,41705997518520330,碳氢化合物，脂肪族，不饱和,"Hydrocarbons, aliphatic, unsaturated",排放到水/海洋,基本流,kg
